idx,topic,question,expected,predicted,correct,latency_s,n_pos_post,n_neg_post,fold
6,Series A vs Series B funding terms,What are the key differences in funding terms between Series A and Series B rounds?,True,True,True,2.49,3,1,0
7,Series A vs Series B funding terms,What are the key differences in funding terms between Series A and Series B rounds?,False,True,False,2.27,3,1,0
12,Indicators of overvaluation in tech startups,What are the critical indicators you look for to assess whether a tech startup is overvalued in its current funding round?,True,True,True,1.88,3,1,0
13,Indicators of overvaluation in tech startups,What are the critical indicators you look for to assess whether a tech startup is overvalued in its current funding round?,False,False,True,5.02,3,2,0
20,Competitive dynamics in tech sectors,How should a VC evaluate market positioning based on competitive dynamics in a tech startup's pitch?,True,True,True,2.78,3,3,0
21,Competitive dynamics in tech sectors,How should a VC evaluate market positioning based on competitive dynamics in a tech startup's pitch?,False,False,True,2.61,3,3,0
22,Navigating regulatory challenges for fintech startups,How should a fintech startup prepare for regulatory compliance to secure both investor confidence and market entry?,True,True,True,2.63,3,1,0
23,Navigating regulatory challenges for fintech startups,How should a fintech startup prepare for regulatory compliance to secure both investor confidence and market entry?,False,True,False,2.09,3,1,0
32,Venture capital portfolio diversification strategies,How should early-stage VCs approach portfolio diversification to maximize returns while managing risks?,True,True,True,1.92,3,0,0
33,Venture capital portfolio diversification strategies,How should early-stage VCs approach portfolio diversification to maximize returns while managing risks?,False,False,True,2.8,3,0,0
40,Pattern recognition in tech market cycles,What indicators signal the peak of a tech market cycle and how should VCs adjust strategies accordingly?,True,True,True,2.1,3,3,0
41,Pattern recognition in tech market cycles,What indicators signal the peak of a tech market cycle and how should VCs adjust strategies accordingly?,False,True,False,2.09,3,3,0
46,Identifying financial bubbles in tech,"What indicators suggest a financial bubble is forming in the tech sector, and how should a VC approach investing during such periods?",True,True,True,2.62,3,2,0
47,Identifying financial bubbles in tech,"What indicators suggest a financial bubble is forming in the tech sector, and how should a VC approach investing during such periods?",False,True,False,2.62,3,1,0
60,Investment risk assessment in tech startups,Describe key factors to assess investment risk in a tech startup during due diligence.,True,True,True,2.78,3,1,0
61,Investment risk assessment in tech startups,Describe key factors to assess investment risk in a tech startup during due diligence.,False,False,True,3.28,3,1,0
62,Burn rate analysis for early-stage startups,How do you calculate the burn rate for an early-stage startup to ensure at least 18 months of runway?,True,True,True,1.95,3,0,0
63,Burn rate analysis for early-stage startups,How do you calculate the burn rate for an early-stage startup to ensure at least 18 months of runway?,False,True,False,2.77,3,0,0
76,Impact of network effects on startup growth,How do strong network effects impact a startup's valuation and market position during early growth stages?,True,True,True,2.17,3,2,0
77,Impact of network effects on startup growth,How do strong network effects impact a startup's valuation and market position during early growth stages?,False,True,False,2.72,3,1,0
78,Economies of scale in tech business models,How does achieving economies of scale impact unit economics and valuation metrics in tech startups?,True,True,True,2.19,3,3,0
79,Economies of scale in tech business models,How does achieving economies of scale impact unit economics and valuation metrics in tech startups?,False,True,False,2.01,3,2,0
84,Assessing market traction using KPIs,What key KPIs indicate strong market traction for a startup seeking Series B funding?,True,True,True,2.3,3,3,0
85,Assessing market traction using KPIs,What key KPIs indicate strong market traction for a startup seeking Series B funding?,False,True,False,2.14,3,3,0
112,Tech sector sensitivity to regulatory changes,"How do regulatory changes impact valuations in the tech sector, particularly for startups during early funding rounds?",True,True,True,2.12,3,1,0
113,Tech sector sensitivity to regulatory changes,"How do regulatory changes impact valuations in the tech sector, particularly for startups during early funding rounds?",False,True,False,1.9,3,1,0
130,Understanding customer segmentation in tech startups,How should a tech startup approach customer segmentation to optimize growth and user acquisition?,True,True,True,3.23,3,3,0
131,Understanding customer segmentation in tech startups,How should a tech startup approach customer segmentation to optimize growth and user acquisition?,False,True,False,1.83,3,3,0
132,Seed round valuation impacts on series progression,How does seed round valuation influence future series raises and investor perceptions?,True,True,True,3.07,3,2,0
133,Seed round valuation impacts on series progression,How does seed round valuation influence future series raises and investor perceptions?,False,False,True,3.37,3,2,0
152,Impact of cybersecurity incidents on valuations,"How do cybersecurity incidents typically impact a startup's valuation during funding rounds, and what metrics should investors scrutinize closely post-incident?",True,True,True,4.4,3,0,0
153,Impact of cybersecurity incidents on valuations,"How do cybersecurity incidents typically impact a startup's valuation during funding rounds, and what metrics should investors scrutinize closely post-incident?",False,True,False,2.46,3,1,0
2,Post-money valuation metrics,What are the key factors to consider when calculating post-money valuation in a startup financing round?,True,True,True,2.11,3,2,1
3,Post-money valuation metrics,What are the key factors to consider when calculating post-money valuation in a startup financing round?,False,False,True,2.62,3,2,1
4,Convertible notes vs SAFE in seed funding,"When considering seed funding, what are the critical differences between using convertible notes and SAFEs?",True,True,True,2.18,3,0,1
5,Convertible notes vs SAFE in seed funding,"When considering seed funding, what are the critical differences between using convertible notes and SAFEs?",False,True,False,1.74,3,0,1
10,Identifying tech bubble warning signs,What are key warning signs that a tech startup might be part of a tech bubble?,True,True,True,2.46,3,2,1
