idx,topic,expected,predicted,correct,latency_s
2,Post-money valuation metrics,True,True,True,34.47
3,Post-money valuation metrics,False,True,False,34.48
4,Convertible notes vs SAFE in seed funding,True,True,True,34.22
5,Convertible notes vs SAFE in seed funding,False,True,False,34.17
6,Series A vs Series B funding terms,True,,,43.6
7,Series A vs Series B funding terms,False,False,True,70.19
12,Indicators of overvaluation in tech startups,True,True,True,26.46
13,Indicators of overvaluation in tech startups,False,False,True,32.45
16,Evaluating product-market fit in early-stage companies,True,True,True,30.05
17,Evaluating product-market fit in early-stage companies,False,False,True,27.45
22,Navigating regulatory challenges for fintech startups,True,True,True,24.08
23,Navigating regulatory challenges for fintech startups,False,True,False,29.68
28,Revenue forecasting methods for startups,True,True,True,35.54
29,Revenue forecasting methods for startups,False,True,False,32.33
30,Due diligence checklists for early-stage investments,True,True,True,35.19
31,Due diligence checklists for early-stage investments,False,False,True,35.43
34,Exit strategies for SaaS companies,True,True,True,42.26
35,Exit strategies for SaaS companies,False,False,True,38.85
40,Pattern recognition in tech market cycles,True,True,True,38.08
41,Pattern recognition in tech market cycles,False,True,False,31.75
42,Impact of interest rates on VC funding,True,True,True,35.48
43,Impact of interest rates on VC funding,False,True,False,37.94
46,Identifying financial bubbles in tech,True,True,True,34.69
47,Identifying financial bubbles in tech,False,True,False,36.47
48,Role of angel investors in seed stage,True,True,True,32.26
49,Role of angel investors in seed stage,False,True,False,29.21
52,Evaluating founder potential and team dynamics,True,False,False,32.19
53,Evaluating founder potential and team dynamics,False,True,False,27.48
54,Impact of ESG criteria on startup evaluations,True,True,True,40.2
55,Impact of ESG criteria on startup evaluations,False,True,False,37.07
58,Valuation strategies for AI companies,True,True,True,39.79
59,Valuation strategies for AI companies,False,True,False,39.08
64,Understanding equity dilution in funding rounds,True,True,True,37.13
65,Understanding equity dilution in funding rounds,False,True,False,27.46
72,Analyzing churn rate in subscription-based models,True,True,True,28.59
73,Analyzing churn rate in subscription-based models,False,False,True,28.56
74,Pricing strategies for tech startups,True,True,True,27.52
75,Pricing strategies for tech startups,False,True,False,28.63
76,Impact of network effects on startup growth,True,True,True,29.05
77,Impact of network effects on startup growth,False,True,False,31.22
82,Importance of intellectual property in tech valuations,True,True,True,39.33
83,Importance of intellectual property in tech valuations,False,True,False,35.73
86,Customer acquisition cost optimization,True,True,True,30.2
87,Customer acquisition cost optimization,False,True,False,35.58
92,Effective board management in startups,True,True,True,25.52
93,Effective board management in startups,False,True,False,34.81
96,Analyzing exit trends in the tech industry,True,True,True,27.87
97,Analyzing exit trends in the tech industry,False,True,False,48.25
102,Navigating antitrust issues in tech mergers,True,True,True,37.96
103,Navigating antitrust issues in tech mergers,False,True,False,30.43
104,Financial projections for hardware startups,True,True,True,27.81
105,Financial projections for hardware startups,False,False,True,26.67
114,Syndication dynamics in venture capital,True,True,True,32.49
115,Syndication dynamics in venture capital,False,False,True,32.95
116,Real options analysis in startup investments,True,True,True,32.4
117,Real options analysis in startup investments,False,False,True,31.51
118,Measuring unit economics in SaaS businesses,True,True,True,33.77
119,Measuring unit economics in SaaS businesses,False,False,True,26.7
120,Assessing scale potential in platform businesses,True,True,True,34.75
121,Assessing scale potential in platform businesses,False,False,True,34.64
126,Impact of currency fluctuations on global startup evaluations,True,True,True,30.2
127,Impact of currency fluctuations on global startup evaluations,False,True,False,28.07
130,Understanding customer segmentation in tech startups,True,True,True,29.25
131,Understanding customer segmentation in tech startups,False,True,False,31.7
138,Convergence trends in telecom and tech,True,True,True,38.57
139,Convergence trends in telecom and tech,False,True,False,33.88
142,Use of special purpose acquisition companies (SPACs) in tech,True,True,True,32.83
143,Use of special purpose acquisition companies (SPACs) in tech,False,True,False,32.0
144,Effect of remote work trends on startup operations,True,True,True,45.39
145,Effect of remote work trends on startup operations,False,True,False,37.39
148,Key success metrics for D2C tech startups,True,False,False,36.49
149,Key success metrics for D2C tech startups,False,False,True,33.76
150,Valuation challenges for biotech startups,True,True,True,36.38
151,Valuation challenges for biotech startups,False,False,True,45.12
152,Impact of cybersecurity incidents on valuations,True,True,True,41.77
153,Impact of cybersecurity incidents on valuations,False,True,False,38.17
154,Importance of founder-market fit,True,True,True,29.29
155,Importance of founder-market fit,False,False,True,29.69
156,Platform dependency risks in SaaS businesses,True,True,True,40.33
157,Platform dependency risks in SaaS businesses,False,,,43.55
