idx,topic,question,expected,predicted,correct,latency_s,wrote_back
1,Pre-money valuation techniques,"What are the key methods for determining the pre-money valuation of a tech startup before a Series A investment round, and how do they differ?",False,True,False,2.45,True
3,Post-money valuation metrics,What are the key factors to consider when calculating post-money valuation in a startup financing round?,False,False,True,10.12,True
5,Convertible notes vs SAFE in seed funding,"When considering seed funding, what are the critical differences between using convertible notes and SAFEs?",False,True,False,4.04,True
7,Series A vs Series B funding terms,What are the key differences in funding terms between Series A and Series B rounds?,False,True,False,2.56,True
8,Understanding liquidation preferences in VC deals,What are liquidation preferences and how do they impact founder and investor returns in a VC deal?,True,True,True,3.18,True
13,Indicators of overvaluation in tech startups,What are the critical indicators you look for to assess whether a tech startup is overvalued in its current funding round?,False,False,True,14.62,True
14,Strategies for startup business model pivots,What are critical considerations when evaluating a startup's decision to pivot its business model?,True,True,True,3.46,True
17,Evaluating product-market fit in early-stage companies,What specific indicators would you look for to assess product-market fit in an early-stage startup?,False,False,True,10.09,True
20,Competitive dynamics in tech sectors,How should a VC evaluate market positioning based on competitive dynamics in a tech startup's pitch?,True,True,True,3.37,True
21,Competitive dynamics in tech sectors,How should a VC evaluate market positioning based on competitive dynamics in a tech startup's pitch?,False,False,True,15.08,True
33,Venture capital portfolio diversification strategies,How should early-stage VCs approach portfolio diversification to maximize returns while managing risks?,False,False,True,10.64,True
34,Exit strategies for SaaS companies,What are the key factors to consider when planning an exit strategy for a SaaS company?,True,True,True,2.94,True
35,Exit strategies for SaaS companies,What are the key factors to consider when planning an exit strategy for a SaaS company?,False,True,False,2.77,True
37,IPO readiness assessment parameters,What are the key financial and operational metrics a startup must evaluate for IPO readiness?,False,True,False,3.5,True
38,M&A strategies in the tech sector,"What are the key considerations when evaluating a tech company for acquisition, especially in terms of strategic fit and financial metrics?",True,True,True,3.3,True
39,M&A strategies in the tech sector,"What are the key considerations when evaluating a tech company for acquisition, especially in terms of strategic fit and financial metrics?",False,True,False,3.14,True
43,Impact of interest rates on VC funding,How do recent interest rate hikes affect risk appetite in venture capital funding rounds?,False,True,False,3.48,True
