idx,topic,question,expected,predicted,correct,latency_s,mem_tokens,control,target_tokens,stateless_verdict,flipped
2,Post-money valuation metrics,What are the key factors to consider when calculating post-money valuation in a startup financing round?,True,True,True,1.84,79,irrelevant_samelen,79,True,False
3,Post-money valuation metrics,What are the key factors to consider when calculating post-money valuation in a startup financing round?,False,False,True,2.25,85,irrelevant_samelen,85,False,False
4,Convertible notes vs SAFE in seed funding,"When considering seed funding, what are the critical differences between using convertible notes and SAFEs?",True,True,True,1.64,77,irrelevant_samelen,77,True,False
5,Convertible notes vs SAFE in seed funding,"When considering seed funding, what are the critical differences between using convertible notes and SAFEs?",False,True,False,3.13,83,irrelevant_samelen,83,True,False
6,Series A vs Series B funding terms,What are the key differences in funding terms between Series A and Series B rounds?,True,True,True,1.89,81,irrelevant_samelen,81,True,False
7,Series A vs Series B funding terms,What are the key differences in funding terms between Series A and Series B rounds?,False,False,True,4.11,87,irrelevant_samelen,87,False,False
12,Indicators of overvaluation in tech startups,What are the critical indicators you look for to assess whether a tech startup is overvalued in its current funding round?,True,True,True,1.87,79,irrelevant_samelen,79,True,False
13,Indicators of overvaluation in tech startups,What are the critical indicators you look for to assess whether a tech startup is overvalued in its current funding round?,False,False,True,2.88,86,irrelevant_samelen,86,False,False
16,Evaluating product-market fit in early-stage companies,What specific indicators would you look for to assess product-market fit in an early-stage startup?,True,True,True,1.83,79,irrelevant_samelen,79,True,False
17,Evaluating product-market fit in early-stage companies,What specific indicators would you look for to assess product-market fit in an early-stage startup?,False,False,True,3.14,87,irrelevant_samelen,87,False,False
22,Navigating regulatory challenges for fintech startups,How should a fintech startup prepare for regulatory compliance to secure both investor confidence and market entry?,True,True,True,2.35,77,irrelevant_samelen,77,True,False
23,Navigating regulatory challenges for fintech startups,How should a fintech startup prepare for regulatory compliance to secure both investor confidence and market entry?,False,True,False,1.95,83,irrelevant_samelen,83,True,False
28,Revenue forecasting methods for startups,How should startups approach revenue forecasting in their early stages to attract VC interest?,True,True,True,1.82,78,irrelevant_samelen,78,True,False
29,Revenue forecasting methods for startups,How should startups approach revenue forecasting in their early stages to attract VC interest?,False,True,False,2.79,84,irrelevant_samelen,84,True,False
30,Due diligence checklists for early-stage investments,"What are the top 3 components of a due diligence checklist for early-stage startups, and how do they impact investment decisions?",True,True,True,2.1,77,irrelevant_samelen,77,True,False
31,Due diligence checklists for early-stage investments,"What are the top 3 components of a due diligence checklist for early-stage startups, and how do they impact investment decisions?",False,False,True,2.8,83,irrelevant_samelen,83,False,False
34,Exit strategies for SaaS companies,What are the key factors to consider when planning an exit strategy for a SaaS company?,True,True,True,1.97,81,irrelevant_samelen,81,True,False
35,Exit strategies for SaaS companies,What are the key factors to consider when planning an exit strategy for a SaaS company?,False,True,False,2.32,87,irrelevant_samelen,87,True,False
40,Pattern recognition in tech market cycles,What indicators signal the peak of a tech market cycle and how should VCs adjust strategies accordingly?,True,True,True,1.82,82,irrelevant_samelen,82,True,False
41,Pattern recognition in tech market cycles,What indicators signal the peak of a tech market cycle and how should VCs adjust strategies accordingly?,False,True,False,2.43,88,irrelevant_samelen,88,True,False
42,Impact of interest rates on VC funding,How do recent interest rate hikes affect risk appetite in venture capital funding rounds?,True,True,True,2.02,80,irrelevant_samelen,80,True,False
43,Impact of interest rates on VC funding,How do recent interest rate hikes affect risk appetite in venture capital funding rounds?,False,True,False,2.13,86,irrelevant_samelen,86,True,False
46,Identifying financial bubbles in tech,"What indicators suggest a financial bubble is forming in the tech sector, and how should a VC approach investing during such periods?",True,True,True,1.95,83,irrelevant_samelen,83,True,False
47,Identifying financial bubbles in tech,"What indicators suggest a financial bubble is forming in the tech sector, and how should a VC approach investing during such periods?",False,True,False,1.96,87,irrelevant_samelen,87,True,False
48,Role of angel investors in seed stage,"What is the role of angel investors in the seed stage, and how can their involvement impact startup success and future funding rounds?",True,True,True,1.65,83,irrelevant_samelen,83,True,False
