idx,topic,expected,predicted,correct,reasoning,latency_s,retrieval_stats
105,Financial projections for hardware startups,False,True,False,"The response effectively incorporates all the key points from the grading notes. It discusses the revenue growth rate of 2x year over year, states the importance of having a gross margin of over 40%, emphasizes the need for a clear breakeven point, outlines a plan for reducing COGS, and explains how",6.09,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['multi_hop_policy_to_attempts', 'similar_issues']}"
108,Capital efficiency metrics for startups,True,True,True,"The response successfully addresses all the points mentioned in the grading notes, providing detailed explanations for each metric: revenue per dollar spent, ROIC, payback period, burn multiple, CAC:LTV ratio, runway, unit economics, and the importance of avoiding vanity metrics. Each point is thoro",2.64,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['semantic_patterns', 'semantic_patterns']}"
141,Valuation implications of tech stack choices,False,True,False,"The response effectively covers all the essential points from the grading notes regarding the impact on valuation, including scalability potential, development costs, integration ease, tech debt risks, the impact of major cloud providers (AWS/GCP/Azure), consideration of the talent pool, and long-te",3.43,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['multi_hop_policy_to_attempts', 'multi_hop_policy_to_attempts']}"
55,Impact of ESG criteria on startup evaluations,False,True,False,"The response comprehensively addresses all the key points from the grading notes on ESG integration. It discusses risk mitigation, the attraction of impact investors, branding advantages, regulatory foresight, the importance of ESG metrics, and a warning against greenwashing. Each of these aspects i",3.11,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['multi_hop_issues_to_fixes', 'contrastive_attempts']}"
94,Role of incubators and accelerators in tech ecosystems,True,True,True,"The output effectively addresses all points in the grading notes for both incubators and accelerators. It highlights the early-stage support, mentorship access, and workspace for incubators, as well as the bootcamp structure, equity stake, and focus on rapid growth for accelerators. Additionally, it",2.71,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['multi_hop_issues_to_fixes', 'multi_hop_issues_to_fixes']}"
29,Revenue forecasting methods for startups,False,True,False,"The response effectively addresses all aspects of the grading notes. It discusses historical versus forecasted revenue, employs both top-down and bottom-up methods, provides traction evidence, emphasizes the importance of unbiased assumptions, delivers detailed monthly projections, includes sensitiv",3.07,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['semantic_patterns', 'similar_issues']}"
101,Assessing disruption potential in mature industries,False,True,False,"The response effectively addresses all the key points outlined in the grading notes. It identifies pain points related to both automotive and banking industries, discusses technological advantages, acknowledges market entry barriers, and considers incumbent responses. Additionally, it evaluates scal",3.27,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['multi_hop_attempt_to_semantic', 'multi_hop_issues_to_fixes']}"
51,Differences between venture debt and equity funding,False,True,False,"The response effectively addresses the grading notes by covering the key aspects of venture debt and equity funding. It discusses debt repayment, interest rates, the impact on dilution and control, compliance with covenants, and the financial implications of both funding types. Each of these points ",2.3,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['multi_hop_issues_to_fixes', 'similar_issues']}"
100,Assessing disruption potential in mature industries,True,True,True,"The response comprehensively addresses all of the specified points from the grading notes, including pain points, technological advantages, market entry barriers, regulatory hurdles, scalability, post-valuation impacts, management team experience, funding needs relative to runway, disruption timefra",3.11,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['multi_hop_policy_to_attempts', 'multi_hop_issues_to_fixes']}"
142,Use of special purpose acquisition companies (SPACs) in tech,True,True,True,"The response effectively addresses all key points mentioned in the grading notes. It outlines the SPAC timeline, discusses valuation alignment, pipe deal size, dilution impact, regulatory scrutiny, management team's track record, market conditions, post-deal performance, and the importance of invest",3.66,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['multi_hop_policy_to_attempts', 'multi_hop_semantic_to_issues']}"
