idx,topic,expected,predicted,correct,latency_s
2,Post-money valuation metrics,True,True,True,28.09
3,Post-money valuation metrics,False,True,False,37.51
4,Convertible notes vs SAFE in seed funding,True,True,True,26.4
5,Convertible notes vs SAFE in seed funding,False,False,True,35.53
6,Series A vs Series B funding terms,True,True,True,28.65
7,Series A vs Series B funding terms,False,True,False,34.0
12,Indicators of overvaluation in tech startups,True,True,True,21.65
13,Indicators of overvaluation in tech startups,False,False,True,37.8
16,Evaluating product-market fit in early-stage companies,True,False,False,25.59
17,Evaluating product-market fit in early-stage companies,False,False,True,29.57
22,Navigating regulatory challenges for fintech startups,True,True,True,40.92
23,Navigating regulatory challenges for fintech startups,False,True,False,25.96
28,Revenue forecasting methods for startups,True,True,True,36.96
29,Revenue forecasting methods for startups,False,True,False,38.94
30,Due diligence checklists for early-stage investments,True,True,True,28.79
31,Due diligence checklists for early-stage investments,False,False,True,27.97
34,Exit strategies for SaaS companies,True,True,True,25.93
35,Exit strategies for SaaS companies,False,False,True,26.11
40,Pattern recognition in tech market cycles,True,True,True,33.54
41,Pattern recognition in tech market cycles,False,True,False,24.62
42,Impact of interest rates on VC funding,True,True,True,25.38
43,Impact of interest rates on VC funding,False,True,False,34.16
46,Identifying financial bubbles in tech,True,True,True,32.51
47,Identifying financial bubbles in tech,False,True,False,33.19
48,Role of angel investors in seed stage,True,True,True,26.68
49,Role of angel investors in seed stage,False,True,False,32.64
52,Evaluating founder potential and team dynamics,True,True,True,32.72
53,Evaluating founder potential and team dynamics,False,True,False,43.76
54,Impact of ESG criteria on startup evaluations,True,True,True,27.42
55,Impact of ESG criteria on startup evaluations,False,True,False,30.99
58,Valuation strategies for AI companies,True,True,True,30.92
59,Valuation strategies for AI companies,False,True,False,28.68
64,Understanding equity dilution in funding rounds,True,True,True,38.96
65,Understanding equity dilution in funding rounds,False,True,False,27.85
72,Analyzing churn rate in subscription-based models,True,True,True,45.55
73,Analyzing churn rate in subscription-based models,False,True,False,28.16
74,Pricing strategies for tech startups,True,,,42.32
75,Pricing strategies for tech startups,False,True,False,66.22
76,Impact of network effects on startup growth,True,True,True,23.87
77,Impact of network effects on startup growth,False,True,False,23.92
82,Importance of intellectual property in tech valuations,True,True,True,26.67
83,Importance of intellectual property in tech valuations,False,True,False,46.3
86,Customer acquisition cost optimization,True,True,True,35.09
87,Customer acquisition cost optimization,False,False,True,34.76
92,Effective board management in startups,True,True,True,30.2
93,Effective board management in startups,False,False,True,31.98
96,Analyzing exit trends in the tech industry,True,True,True,26.11
97,Analyzing exit trends in the tech industry,False,False,True,30.95
102,Navigating antitrust issues in tech mergers,True,True,True,40.2
103,Navigating antitrust issues in tech mergers,False,False,True,33.59
104,Financial projections for hardware startups,True,True,True,32.52
105,Financial projections for hardware startups,False,False,True,29.87
114,Syndication dynamics in venture capital,True,True,True,40.49
115,Syndication dynamics in venture capital,False,False,True,52.72
116,Real options analysis in startup investments,True,True,True,39.73
117,Real options analysis in startup investments,False,False,True,36.24
118,Measuring unit economics in SaaS businesses,True,True,True,28.64
119,Measuring unit economics in SaaS businesses,False,False,True,33.03
120,Assessing scale potential in platform businesses,True,False,False,27.92
121,Assessing scale potential in platform businesses,False,False,True,35.32
126,Impact of currency fluctuations on global startup evaluations,True,True,True,26.24
127,Impact of currency fluctuations on global startup evaluations,False,False,True,28.86
130,Understanding customer segmentation in tech startups,True,True,True,36.61
131,Understanding customer segmentation in tech startups,False,True,False,32.25
138,Convergence trends in telecom and tech,True,True,True,31.75
139,Convergence trends in telecom and tech,False,True,False,30.6
142,Use of special purpose acquisition companies (SPACs) in tech,True,True,True,28.16
143,Use of special purpose acquisition companies (SPACs) in tech,False,False,True,27.13
144,Effect of remote work trends on startup operations,True,True,True,27.48
145,Effect of remote work trends on startup operations,False,True,False,36.33
148,Key success metrics for D2C tech startups,True,True,True,35.31
149,Key success metrics for D2C tech startups,False,False,True,26.1
150,Valuation challenges for biotech startups,True,True,True,29.59
151,Valuation challenges for biotech startups,False,,,43.51
152,Impact of cybersecurity incidents on valuations,True,True,True,74.65
153,Impact of cybersecurity incidents on valuations,False,True,False,37.05
154,Importance of founder-market fit,True,True,True,32.07
155,Importance of founder-market fit,False,False,True,37.33
156,Platform dependency risks in SaaS businesses,True,True,True,30.04
157,Platform dependency risks in SaaS businesses,False,False,True,27.98
