idx,topic,expected,predicted,correct,reasoning,latency_s,judge_stats,retrieval_stats
105,Financial projections for hardware startups,False,False,True,"The code snippet fails to explicitly address the constraints mentioned in the problem statement, such as burn rate alignment with scaling, 24-month runway, and CapEx impact on cash flow. While it provides a solid overview of key financial metrics, it does not fully meet the requirements outlined in ",58.97,"{'num_rollouts': 2, 'max_depth': 3, 'best_reward': 0.0, 'total_nodes': 7}","{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['semantic_patterns', 'similar_issues']}"
108,Capital efficiency metrics for startups,True,False,False,"The provided text does not contain any actual code or programming logic; it is purely a descriptive analysis of financial metrics for startups. Therefore, it fails to meet the criteria for code correctness.",45.25,"{'num_rollouts': 2, 'max_depth': 3, 'best_reward': 1.1, 'total_nodes': 7}","{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['similar_issues', 'multi_hop_attempt_to_semantic']}"
141,Valuation implications of tech stack choices,False,False,True,"The provided text is not actual code but rather a narrative analysis discussing the impact of tech stack choices on startup valuation. Therefore, it does not meet the criteria for code correctness.",41.5,"{'num_rollouts': 2, 'max_depth': 3, 'best_reward': 0.0, 'total_nodes': 7}","{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['multi_hop_attempt_to_semantic', 'similar_issues']}"
55,Impact of ESG criteria on startup evaluations,False,False,True,"The provided text is not actual code; it is a descriptive analysis of ESG integration in startups. Therefore, it cannot be evaluated for correctness as code.",41.38,"{'num_rollouts': 2, 'max_depth': 3, 'best_reward': 0.0, 'total_nodes': 7}","{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['contrastive_attempts', 'semantic_patterns']}"
94,Role of incubators and accelerators in tech ecosystems,True,False,False,"[Note: subtask majority voted PASS, but global analysis concluded differently]
The provided text is not actual code but rather a descriptive analysis of incubators and accelerators. It lacks any computational logic or algorithmic structure that can be evaluated for correctness, thus failing the logi",51.09,"{'num_rollouts': 2, 'max_depth': 3, 'best_reward': 1.1, 'total_nodes': 7}","{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['multi_hop_semantic_to_issues', 'semantic_patterns']}"
29,Revenue forecasting methods for startups,False,False,True,"[Note: subtask majority voted PASS, but global analysis concluded differently]
While the code outlines a structured approach to revenue forecasting, it fails to adequately address edge cases, which are critical for ensuring robustness in real-world applications. Without considering potential anomali",70.29,"{'num_rollouts': 2, 'max_depth': 3, 'best_reward': 1.1, 'total_nodes': 7}","{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['contrastive_attempts', 'similar_issues']}"
101,Assessing disruption potential in mature industries,False,False,True,"[Note: subtask majority voted PASS, but global analysis concluded differently]
The provided text is not actual code but rather a qualitative analysis framework. It lacks any executable code, functions, or programming constructs that can be evaluated for correctness. Therefore, it cannot be deemed co",71.55,"{'num_rollouts': 2, 'max_depth': 3, 'best_reward': 1.1, 'total_nodes': 7}","{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['multi_hop_issues_to_fixes', 'multi_hop_issues_to_fixes']}"
51,Differences between venture debt and equity funding,False,False,True,"[Note: subtask majority voted PASS, but global analysis concluded differently]
The provided text is a descriptive analysis rather than functional code, which means it does not meet the criteria for correctness in a coding context. It lacks implementation and does not handle any edge cases.",50.49,"{'num_rollouts': 2, 'max_depth': 3, 'best_reward': 1.1, 'total_nodes': 7}","{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['multi_hop_issues_to_fixes', 'multi_hop_issues_to_fixes']}"
100,Assessing disruption potential in mature industries,True,False,False,"[Note: subtask majority voted PASS, but global analysis concluded differently]
While the code snippet provides a comprehensive framework for evaluating the disruption potential of a tech startup, it fails to address edge cases that may arise in real-world scenarios. This oversight limits its overall",63.77,"{'num_rollouts': 2, 'max_depth': 3, 'best_reward': 1.1, 'total_nodes': 7}","{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['multi_hop_attempt_to_semantic', 'multi_hop_semantic_to_issues']}"
142,Use of special purpose acquisition companies (SPACs) in tech,True,False,False,"The code snippet provides a comprehensive guide on considerations for SPAC mergers but lacks executable functionality or output generation, which is essential for code correctness. Therefore, while the content is informative, it does not meet the criteria for being 'correct' in a coding context.",63.55,"{'num_rollouts': 2, 'max_depth': 3, 'best_reward': 0.0, 'total_nodes': 7}","{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['multi_hop_attempt_to_semantic', 'multi_hop_attempt_to_semantic']}"
19,Market timing for tech startups entering competitive spaces,False,False,True,"The provided code snippet is a comprehensive guide rather than a traditional code implementation. It fails to address specific constraints and lacks a clear data flow, which are essential for assessing correctness in a coding context. While the logical structure is sound, it does not meet the criter",62.27,"{'num_rollouts': 2, 'max_depth': 3, 'best_reward': 0.0, 'total_nodes': 7}","{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['multi_hop_policy_to_attempts', 'contrastive_attempts']}"
84,Assessing market traction using KPIs,True,False,False,"The provided code does not contain any executable code or functions that can be evaluated for correctness. It is a descriptive outline of KPIs rather than a functional code snippet, leading to a failure in the criteria for correctness.",50.46,"{'num_rollouts': 2, 'max_depth': 3, 'best_reward': 0.0, 'total_nodes': 7}","{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['similar_issues', 'contrastive_attempts']}"
15,Strategies for startup business model pivots,False,True,False,"The code snippet effectively outlines a structured approach to evaluating a startup's decision to pivot its business model. It addresses all critical considerations mentioned in the problem statement, ensuring a comprehensive analysis that aligns with the necessary criteria for assessing the pivot's",55.59,"{'num_rollouts': 2, 'max_depth': 3, 'best_reward': 1.1, 'total_nodes': 7}","{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['similar_issues', 'multi_hop_issues_to_fixes']}"
