idx,topic,expected,predicted,correct,latency_s
2,Post-money valuation metrics,True,True,True,4.07
3,Post-money valuation metrics,False,True,False,3.22
4,Convertible notes vs SAFE in seed funding,True,True,True,2.89
5,Convertible notes vs SAFE in seed funding,False,True,False,3.23
6,Series A vs Series B funding terms,True,True,True,3.77
7,Series A vs Series B funding terms,False,True,False,3.56
12,Indicators of overvaluation in tech startups,True,True,True,2.67
13,Indicators of overvaluation in tech startups,False,False,True,9.19
16,Evaluating product-market fit in early-stage companies,True,True,True,16.42
17,Evaluating product-market fit in early-stage companies,False,False,True,9.47
22,Navigating regulatory challenges for fintech startups,True,True,True,3.02
23,Navigating regulatory challenges for fintech startups,False,True,False,2.9
28,Revenue forecasting methods for startups,True,True,True,3.14
29,Revenue forecasting methods for startups,False,True,False,2.83
30,Due diligence checklists for early-stage investments,True,True,True,2.46
31,Due diligence checklists for early-stage investments,False,False,True,10.37
34,Exit strategies for SaaS companies,True,True,True,2.86
35,Exit strategies for SaaS companies,False,True,False,3.77
40,Pattern recognition in tech market cycles,True,True,True,2.81
41,Pattern recognition in tech market cycles,False,True,False,2.54
42,Impact of interest rates on VC funding,True,True,True,2.55
43,Impact of interest rates on VC funding,False,True,False,3.0
46,Identifying financial bubbles in tech,True,True,True,3.07
47,Identifying financial bubbles in tech,False,True,False,3.38
48,Role of angel investors in seed stage,True,True,True,3.02
49,Role of angel investors in seed stage,False,True,False,3.15
52,Evaluating founder potential and team dynamics,True,True,True,4.77
53,Evaluating founder potential and team dynamics,False,True,False,3.66
54,Impact of ESG criteria on startup evaluations,True,True,True,5.66
55,Impact of ESG criteria on startup evaluations,False,True,False,3.14
58,Valuation strategies for AI companies,True,True,True,4.04
59,Valuation strategies for AI companies,False,True,False,2.58
64,Understanding equity dilution in funding rounds,True,True,True,2.93
65,Understanding equity dilution in funding rounds,False,True,False,3.18
72,Analyzing churn rate in subscription-based models,True,True,True,2.77
73,Analyzing churn rate in subscription-based models,False,True,False,4.09
74,Pricing strategies for tech startups,True,True,True,2.19
75,Pricing strategies for tech startups,False,True,False,3.0
76,Impact of network effects on startup growth,True,True,True,7.57
77,Impact of network effects on startup growth,False,True,False,2.9
82,Importance of intellectual property in tech valuations,True,True,True,2.92
83,Importance of intellectual property in tech valuations,False,True,False,2.58
86,Customer acquisition cost optimization,True,True,True,2.82
87,Customer acquisition cost optimization,False,False,True,13.79
92,Effective board management in startups,True,True,True,3.17
93,Effective board management in startups,False,True,False,2.75
96,Analyzing exit trends in the tech industry,True,True,True,2.61
97,Analyzing exit trends in the tech industry,False,False,True,9.36
102,Navigating antitrust issues in tech mergers,True,True,True,3.63
103,Navigating antitrust issues in tech mergers,False,True,False,2.75
104,Financial projections for hardware startups,True,True,True,3.07
105,Financial projections for hardware startups,False,False,True,13.61
114,Syndication dynamics in venture capital,True,True,True,3.3
115,Syndication dynamics in venture capital,False,True,False,2.96
116,Real options analysis in startup investments,True,True,True,3.03
117,Real options analysis in startup investments,False,True,False,6.45
118,Measuring unit economics in SaaS businesses,True,True,True,3.18
119,Measuring unit economics in SaaS businesses,False,False,True,15.11
120,Assessing scale potential in platform businesses,True,True,True,5.68
121,Assessing scale potential in platform businesses,False,False,True,10.45
126,Impact of currency fluctuations on global startup evaluations,True,True,True,3.46
127,Impact of currency fluctuations on global startup evaluations,False,True,False,3.89
130,Understanding customer segmentation in tech startups,True,True,True,6.34
131,Understanding customer segmentation in tech startups,False,True,False,2.36
138,Convergence trends in telecom and tech,True,True,True,3.65
139,Convergence trends in telecom and tech,False,True,False,3.93
142,Use of special purpose acquisition companies (SPACs) in tech,True,True,True,3.63
143,Use of special purpose acquisition companies (SPACs) in tech,False,True,False,2.77
144,Effect of remote work trends on startup operations,True,True,True,3.68
145,Effect of remote work trends on startup operations,False,True,False,6.22
148,Key success metrics for D2C tech startups,True,False,False,6.3
149,Key success metrics for D2C tech startups,False,False,True,13.14
150,Valuation challenges for biotech startups,True,True,True,2.5
151,Valuation challenges for biotech startups,False,True,False,2.85
152,Impact of cybersecurity incidents on valuations,True,True,True,3.35
153,Impact of cybersecurity incidents on valuations,False,True,False,3.22
154,Importance of founder-market fit,True,True,True,2.91
155,Importance of founder-market fit,False,True,False,2.53
156,Platform dependency risks in SaaS businesses,True,True,True,3.73
157,Platform dependency risks in SaaS businesses,False,True,False,2.68
